date,volumeUSD,totalValueLockedUSD,priceUSD,feesUSD,open,high,low,close,token_id
2022-04-28,51727721.981008746,367279518.34116405,1.0,23747.663965593223,1.0,1.0013106953093935,0.9992835593606582,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-27,47442621.06417509,359909300.35790485,1.0,22638.04748587761,1.0,1.0009752724530545,0.9992536524950902,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-26,51423051.33307447,365653419.1332607,1.0,32481.070078509096,1.0,1.000003287301216,0.9990943035898504,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-25,63001432.09059653,374467545.1989936,1.0,35224.14867110417,1.0,1.0013740711164907,0.9993767616157616,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-24,21962854.93560945,374227967.2342472,1.0,10524.700355537407,1.0,1.0012184845570447,0.9999147348477708,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-23,29076378.995907288,373920820.18291205,1.0,13342.440910894014,1.0,1.0003550607653011,0.999727301564486,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-22,53683397.79523042,372365254.956084,1.0,28209.21719422268,1.0,1.0010682818804657,0.999885668524181,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-21,76576227.71459466,340620502.4503368,1.0,76645.19576536007,1.0,1.0007249147704944,0.9994142940556434,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-20,91451993.7257545,344305774.32784975,1.0,81874.42728694841,1.0,1.0,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-19,73403243.41613744,340701762.3574711,1.0,63840.50698588762,1.0,1.0000141956044108,0.9998754021667272,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-18,68485462.27715302,334977184.88105613,1.0,44194.763011028765,1.0,1.0009049862384802,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-17,88166546.02060054,323315090.45881087,1.0,90903.74107160621,1.0,1.0000039814256945,0.9983440098187456,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-16,27260331.810090307,304265157.08673024,1.0,27646.5547624602,1.0,1.000006482172084,0.9999973284783058,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
