tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-877140,0,8.094655543139522e-49,WBTC/WETH-0.3,5.033475146968527e+22,4.0866657645172756e-26,0.0,5.412678500374849e-24
-877080,0,8.143367029195746e-49,WBTC/WETH-0.3,5.018398102241729e+22,4.098943555410074e-26,0.0,5.45366793592895e-24
-877020,0,8.192371648030895e-49,WBTC/WETH-0.3,5.0033662186154185e+22,4.111258233133696e-26,0.0,5.4947805182602866e-24
-876960,0,8.24167116364014e-49,WBTC/WETH-0.3,4.9883793608160525e+22,4.1236099085092236e-26,0.0,5.536016617345379e-24
-876900,0,8.291267350633902e-49,WBTC/WETH-0.3,4.9734373939758196e+22,4.135998692691138e-26,0.0,5.57737660427229e-24
-876840,0,8.34116199430174e-49,WBTC/WETH-0.3,4.958540183630003e+22,4.1484246971671364e-26,0.0,5.618860851243962e-24
-876780,0,8.391356890676607e-49,WBTC/WETH-0.3,4.943687595716777e+22,4.160888033759956e-26,0.0,5.660469731581561e-24
-876720,0,8.44185384659951e-49,WBTC/WETH-0.3,4.9288794965762936e+22,4.173388814628643e-26,0.0,5.702203619727847e-24
-876660,0,8.49265467978454e-49,WBTC/WETH-0.3,4.9141157529493636e+22,4.1859271522694645e-26,0.0,5.744062891250541e-24
-876600,0,8.543761218884312e-49,WBTC/WETH-0.3,4.8993962319748515e+22,4.198503159515728e-26,0.0,5.786047922845698e-24
-876540,0,8.595175303555787e-49,WBTC/WETH-0.3,4.884720801190292e+22,4.211116949540328e-26,0.0,5.828159092341102e-24
-876480,0,8.646898784526489e-49,WBTC/WETH-0.3,4.870089328530129e+22,4.2237686358562916e-26,0.0,5.870396778699664e-24
-876420,0,8.69893352366113e-49,WBTC/WETH-0.3,4.8555016823243985e+22,4.236458332317688e-26,0.0,5.912761362022841e-24
-876360,0,8.75128139402863e-49,WBTC/WETH-0.3,4.840957731296783e+22,4.2491861531199923e-26,0.0,5.955253223554041e-24
-876300,0,8.803944279969542e-49,WBTC/WETH-0.3,4.82645734456498e+22,4.2619522128024555e-26,0.0,5.997872745682065e-24
-876240,0,8.856924077163874e-49,WBTC/WETH-0.3,4.8120003916383346e+22,4.274756626248099e-26,0.0,6.040620311944546e-24
-876180,0,8.910222692699337e-49,WBTC/WETH-0.3,4.797586742417552e+22,4.2875995086855364e-26,0.0,6.083496307031401e-24
-876120,0,8.96384204513999e-49,WBTC/WETH-0.3,4.7832162671921595e+22,4.3004809756887916e-26,0.0,6.126501116788289e-24
-876060,0,9.017784064595297e-49,WBTC/WETH-0.3,4.7688888366410385e+22,4.313401143179849e-26,0.0,6.169635128220087e-24
-876000,0,9.072050692789608e-49,WBTC/WETH-0.3,4.754604321830079e+22,4.32636012742865e-26,0.0,6.212898729494373e-24
-875940,0,9.126643883132056e-49,WBTC/WETH-0.3,4.740362594211285e+22,4.339358045054367e-26,0.0,6.256292309944917e-24
-875880,0,9.181565600786875e-49,WBTC/WETH-0.3,4.726163525621862e+22,4.3523950130266804e-26,0.0,6.299816260075184e-24
-875820,0,9.236817822744126e-49,WBTC/WETH-0.3,4.712006988282906e+22,4.3654711486666855e-26,0.0,6.343470971561851e-24
-875760,0,9.292402537890878e-49,WBTC/WETH-0.3,4.6978928547982935e+22,4.378586569647986e-26,0.0,6.387256837258331e-24
-875700,0,9.34832174708279e-49,WBTC/WETH-0.3,4.683820998153369e+22,4.391741393997604e-26,0.0,6.431174251198307e-24
-875640,0,9.404577463216141e-49,WBTC/WETH-0.3,4.669791291714038e+22,4.404935740097251e-26,0.0,6.4752236085992795e-24
-875580,0,9.461171711300286e-49,WBTC/WETH-0.3,4.6558036092250745e+22,4.418169726683881e-26,0.0,6.519405305866118e-24
-875520,0,9.518106528530546e-49,WBTC/WETH-0.3,4.641857824810735e+22,4.4314434728524104e-26,0.0,6.563719740594642e-24
-875460,0,9.57538396436154e-49,WBTC/WETH-0.3,4.62795381297039e+22,4.444757098053725e-26,0.0,6.6081673115751796e-24
-875400,0,9.633006080580964e-49,WBTC/WETH-0.3,4.614091448581048e+22,4.458110722099223e-26,0.0,6.652748418796171e-24
-875340,0,9.690974951383802e-49,WBTC/WETH-0.3,4.600270606893383e+22,4.4715044651591845e-26,0.0,6.697463463447763e-24
-875280,0,9.749292663446997e-49,WBTC/WETH-0.3,4.586491163532702e+22,4.4849384477658547e-26,0.0,6.742312847925422e-24
-875220,0,9.807961316004553e-49,WBTC/WETH-0.3,4.572752994495591e+22,4.498412790812364e-26,0.0,6.787296975833545e-24
