tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-876480,0,8.646898784526488e-51,USDC/WETH-0.3,4.022480628276242e+25,3.4886480246925083e-25,0.0,4.8578785291118606e-23
-876420,0,8.69893352366113e-51,USDC/WETH-0.3,4.010431870991453e+25,3.499129158559118e-25,0.0,4.892869820697452e-23
-876360,0,8.75128139402863e-51,USDC/WETH-0.3,3.998419204011309e+25,3.5096417814626686e-25,0.0,4.9279662385120784e-23
-876300,0,8.803944279969542e-51,USDC/WETH-0.3,3.986442519232759e+25,3.5201859880075665e-25,0.0,4.963168098392154e-23
-876240,0,8.856924077163875e-51,USDC/WETH-0.3,3.974501708876229e+25,3.5307618730821597e-25,0.0,4.9984757171229756e-23
-876180,0,8.910222692699338e-51,USDC/WETH-0.3,3.962596665485399e+25,3.541369531860241e-25,0.0,5.033889412441578e-23
-876120,0,8.96384204513999e-51,USDC/WETH-0.3,3.950727281925096e+25,3.5520090598008945e-25,0.0,5.0694095030395874e-23
-876060,0,9.017784064595296e-51,USDC/WETH-0.3,3.938893451381736e+25,3.562680552650606e-25,0.0,5.105036308566093e-23
-876000,0,9.072050692789608e-51,USDC/WETH-0.3,3.927095067361385e+25,3.5733841064432566e-25,0.0,5.1407701496305255e-23
-875940,0,9.126643883132057e-51,USDC/WETH-0.3,3.915332023689027e+25,3.5841198175011806e-25,0.0,5.176611347805537e-23
-875880,0,9.181565600786875e-51,USDC/WETH-0.3,3.903604214507802e+25,3.594887782436213e-25,0.0,5.2125602256299e-23
-875820,0,9.236817822744126e-51,USDC/WETH-0.3,3.891911534277929e+25,3.605688098150444e-25,0.0,5.248617106611404e-23
-875760,0,9.292402537890878e-51,USDC/WETH-0.3,3.880253877775785e+25,3.6165208618371196e-25,0.0,5.284782315229775e-23
-875700,0,9.34832174708279e-51,USDC/WETH-0.3,3.868631140092825e+25,3.6273861709813945e-25,0.0,5.32105617693959e-23
-875640,0,9.404577463216142e-51,USDC/WETH-0.3,3.8570432166348292e+25,3.6382841233613822e-25,0.0,5.357439018173202e-23
-875580,0,9.461171711300287e-51,USDC/WETH-0.3,3.845490003120506e+25,3.6492148170486064e-25,0.0,5.393931166343689e-23
-875520,0,9.518106528530545e-51,USDC/WETH-0.3,3.833971395582001e+25,3.6601783504102586e-25,0.0,5.430532949847791e-23
-875460,0,9.575383964361539e-51,USDC/WETH-0.3,3.8224872903612883e+25,3.671174822107541e-25,0.0,5.467244698068867e-23
-875400,0,9.633006080580964e-51,USDC/WETH-0.3,3.811037584112253e+25,3.6822043310994253e-25,0.0,5.504066741379861e-23
-875340,0,9.690974951383803e-51,USDC/WETH-0.3,3.79962217379741e+25,3.6932669766413007e-25,0.0,5.540999411146274e-23
-875280,0,9.749292663446997e-51,USDC/WETH-0.3,3.7882409566887104e+25,3.70436285828753e-25,0.0,5.578043039729149e-23
-875220,0,9.807961316004552e-51,USDC/WETH-0.3,3.7768938303647567e+25,3.7154920758905446e-25,0.0,5.615197960488055e-23
-875160,0,9.866983020923111e-51,USDC/WETH-0.3,3.76558069271205e+25,3.726654729603854e-25,0.0,5.652464507784094e-23
-875100,0,9.926359902777959e-51,USDC/WETH-0.3,3.7543014419223736e+25,3.7378509198812933e-25,0.0,5.689843016982906e-23
-875040,0,9.986094098929521e-51,USDC/WETH-0.3,3.743055976492192e+25,3.749080747478223e-25,0.0,5.727333824457688e-23
