id,date,volumeETH,volumeUSD,volumeUSDUntracked,feesUSD,txCount,tvlUSD
19106,1650758400,231331.928324857565793898257059366,680606028.3834633914879593825119909,0,993828.6137777989608380676924984559,14073479,19403810030.42655328155948615072285
19105,1650672000,218166.6633472983110674164841920149,644894525.8480668914609983065734587,0,1161080.884727100182320092673408298,14045653,19430514947.13269536463322316680119
19104,1650585600,377522.7674239380397881813811510254,1125851587.033142472421568409580563,0,1590087.607406116127448194557584177,14013930,19599201148.6663403077103699956071
19103,1650499200,483397.4610079109020307012782423254,1490218560.481914165562633047910282,0,2151052.697982405341006455242830713,13983165,19763616772.36667900562332595003838
19102,1650412800,494304.2432552382488701400032953708,1529060911.778812935157773597868306,0,2417065.34418643884416112726002897,13947525,20362265828.63961620014334451390023
19101,1650326400,374392.20007879988817662186856054,1151959604.021084342700903218769506,0,1584030.098866599209245935748582265,13910841,20420053100.44153733772520836183361
19100,1650240000,458636.1518399411104381943019179817,1357503803.058918989063016124180164,0,1795021.071713298397961324964283338,13878312,20175422663.58651280381889890719159
19099,1650153600,353783.1949672294293595483549035555,1079340735.991975844220289071763299,0,1492061.715046953101933057094675179,13842575,19735940435.04138895385839346946891
19098,1650067200,158768.3643623470940081262558968169,482194273.2643130605631824538254602,0,793509.8872464165587207289847208007,13810537,20218551477.18821999829884099629417
19097,1649980800,312170.1901034764836979775063927423,944905458.5576272203456223298465243,0,1191836.115824117058765603114175538,13785140,20028479927.53492568198692381908852
19096,1649894400,432233.6169579531941433383342728917,1324444369.363787977390170488921457,0,1746022.93241628487862798723906292,13756996,19972847504.6740861204980581136749
19095,1649808000,501517.1605416210913326190107253265,1536037198.166735471190382920450697,0,2022250.976790286774027315823353637,13722690,20548227113.26834784177423290505879
19094,1649721600,649146.361772618435794017838135409,1960281428.519215145018571435021503,0,2136131.842611603084740249727112615,13688584,19985177011.19303811000850984549805
19093,1649635200,853788.4320441896545633955707979858,2616047079.898144841707160740982578,0,3002258.20376702312548986486433707,13654031,19673890776.51626323803408886694727
19092,1649548800,263673.8540960130749192375540437038,859037701.1855103816070228505585958,0,1245175.438575103394313719168930106,13610363,21156619335.80737350237692081264932
19091,1649462400,289396.616641554120361112417832116,931278951.0551846397173438862884467,0,1200406.451097624976442172600113089,13581553,21472986726.875537187980592751578
19090,1649376000,566244.0379425384545259851044306434,1841952515.743440111355361620487184,0,2258229.947046578483042719344924041,13553264,20935957805.93164314802008423836533
19089,1649289600,477099.8861263229073471186412968182,1531506874.205693844054849025157877,0,2037677.692306261116832742566903773,13519520,21362449289.37225992755411531855241
19088,1649203200,720107.1460091800080799478438973593,2358618872.429668859829948673330186,0,3155524.875041899417832589995684864,13486835,20958835258.44177057317862497627488
19087,1649116800,420725.1298833327892711674939327391,1464584802.163825223218283602196804,0,1959985.279465707863487689189082758,13446979,22331897706.43430544568579182907534
19086,1649030400,437570.4951832080896003311893493296,1520702455.302547267665191722372379,0,2162440.504566291028054913081725617,13415482,22971165145.91643558295606201717684
19085,1648944000,332496.4752800170001772033901855583,1161817279.77826755073221535785241,0,1846834.269497705853935866909479767,13380959,22951890494.54817758274053743336419
19084,1648857600,445234.5001954247289905953559895921,1548746767.097978393444853615983895,0,2456285.114036949440546759622940459,13345921,22470952079.569460321048380794763
19083,1648771200,507149.1849647684633882605894451759,1698744353.223603102138474041571625,0,2698055.866094391213978817872776617,13305761,22492418062.89148823088819453646588
19082,1648684800,482297.5846617735731811268364928272,1619719752.431731977760323621529145,0,2442526.710442604359107000001156767,13262395,21484048830.46992925419533285976969
19081,1648598400,460711.2524755910434882226646205985,1561232903.375597248844833106358086,0,2448110.908405662058886877171247681,13220562,22141755903.09300705699922201775183
19080,1648512000,523473.0428810848241047758050586411,1784059090.621447902710557658308594,0,2901262.486038095664938334402921152,13178833,22150348051.80764217430507130026821
19079,1648425600,536807.8426489351507321670339332111,1800648570.565683665215818648947028,0,3428567.894272351930533775663403254,13130087,21727883295.33278686202236868040422
19078,1648339200,360694.4968334973266263416594784116,1152861799.473398200742374038014495,0,1899594.746580050212280191142973912,13072400,21567815853.1660991802167704784067
19077,1648252800,269597.9909102878197167416615586681,841793960.4518511857180067614536505,0,1318981.990708123676775054137935928,13034237,20635541370.04449744387288320039356
19076,1648166400,547349.7031008934136780253904791544,1713026947.336003982462562369110479,0,2429557.772366609773579377810865589,13001645,20422045816.92292003296116665713254
19075,1648080000,637043.0061099187258813514476860647,1951156591.587761076037652103740289,0,2709343.407793671341202821298016727,12958302,20485599701.20151664539648035645408
19074,1647993600,445171.2558779252516765524380202567,1323913098.390839266510485128943977,0,1976600.713426622549142792942723139,12913821,20176386702.30828873193339462788301
19073,1647907200,522824.4027056675095050608228861081,1565321589.091368888348795435072662,0,2269487.623062789192893123927948178,12874634,19853612343.54514822611759539313902
